file,line,marker,text
docs/research/anchored-overlays/angular-cdk.md,380,TODO,TODO(jelbourn): someday replace this with IntersectionObservers`.
docs/research/anchored-overlays/compose.md,325,TODO,"TODO(b/256233441)` at `ContextMenuPopupPositionProvider.kt:61`, and"
docs/research/anchored-overlays/gpui.md,207,TODO,TODO: Use viewport_bounds.width as a max width so that it doesn't get clipped on the left`).
docs/research/anchored-overlays/gtk4.md,603,FIXME,FIXME: we need to ignore the release that is paired
docs/research/anchored-overlays/headlessui.md,418,TODO,TODO: Enable when ready`
docs/research/anchored-overlays/headlessui.md,1138,TODO,"TODO: Enable when ready`. The structure suggests the hover-only interaction is the unfinished part — the panel as implemented is not hoverable, since entering it does not cancel the hide.       | The best-developed timing machine in the repository ships to nobody, and it is not the reason for the two `@react-aria` dependencies, which the shipped components also use.                                                                                                                 |"
docs/research/anchored-overlays/helix.md,787,TODO,TODO: consistently style menu` sits on the very lines
docs/research/anchored-overlays/helix.md,1311,TODO,TODO: consistently style menu` sits on the lines consuming the result.                         |
docs/research/anchored-overlays/nvim-completion.md,239,TODO,TODO: never go above the screen width and height` admitting the gap.
docs/research/anchored-overlays/nvim-completion.md,370,TODO,"TODO: fix nvim_win_text_height`, and nvim-cmp's"
docs/research/anchored-overlays/nvim-completion.md,1217,TODO,"TODO: never go above the screen width and height` in the window library, and the only"
docs/research/anchored-overlays/nvim-completion.md,1231,TODO,"TODO: fix nvim_win_text_height` is left in place. Read from the loops, not profiled."
docs/research/anchored-overlays/radix.md,206,TODO,"TODO: make sure to update this when we change positioning logic`. The intent is stored as `{area, side}` and expires after 300 ms regardless of pointer position."
docs/research/anchored-overlays/radix.md,376,TODO,TODO: Move to primitive` comment ([`popover.tsx:617`][popover-describedby-dup]).
docs/research/anchored-overlays/radix.md,418,TODO,TODO: Move to primitive` in both copies; and two branch registries were added independently for the same shape of problem.
docs/research/anchored-overlays/radix.md,441,TODO,TODO: Move to primitive` in both copies.
docs/research/anchored-overlays/react-aria.md,904,TODO,TODO: add tray back in
docs/research/anchored-overlays/tippy.md,298,TODO,"TODO: find a better technique"" ([`src/bindGlobalEventListeners.ts:42-58`][bgl-blur])."
docs/research/anchored-overlays/uno.md,55,TODO,"TODO: UWP also uses values coming from the input pane and app bars, if any."
docs/research/async-io/libuv.md,245,TODO,TODO(bnoordhuis)` to that effect in `uv__work_cancel`.
docs/research/code-formatting/clang-format.md,8,FIXME,FIXME: Write up design.`
docs/research/code-formatting/clang-format.md,32,FIXME,"FIXME: Write up design."" — [`clang/docs/LibFormat.rst`][libformat]"
docs/research/code-formatting/clang-format.md,89,FIXME,FIXME: Add diagnostic?`.
docs/research/code-formatting/clang-format.md,200,FIXME,FIXME: Write up design.` after a decade.
docs/research/code-formatting/gofmt.md,108,TODO,TODO(gri): linebreak may add too many lines if the next statement at 'line' is preceded by
docs/research/code-formatting/grounding/clang-format.md,13,FIXME,"FIXME: Add diagnostic?` fallback                                                                                                                                                                                                                                                    | `UnwrappedLineFormatter.cpp:1402-1404, 1415-1418, 1433-1436`                                             |"
docs/research/code-formatting/grounding/clang-format.md,14,FIXME,FIXME: Write up design.`                                                                                                                                                                                                                                                                                                                                                 | `clang/docs/LibFormat.rst`                                                                               |
docs/research/code-formatting/grounding/gofmt.md,13,TODO,"TODO(gri)` comment, quoted in full                                                                                | `nodes.go:35-44`                |"
docs/research/code-formatting/grounding/theory-cost-and-search.md,33,FIXME,"FIXME: Add diagnostic?"" (L113)                                                                                                  | code  | `clang-uf:1433-1436`                                            | verbatim                                                                                                                                                                                                   | ✓      |"
docs/research/code-formatting/theory/cost-and-search.md,113,FIXME,FIXME: Add diagnostic? }`                                                                                  |
docs/research/coroutines/stackless/ldc-codegen.md,572,TODO,TODO: Skip passes according to Phase.
docs/research/coroutines/wasm-and-wasmfx.md,208,TODO,TODO: Skip passes according to Phase.
docs/research/diff-review/git-split-diffs.md,157,TODO,TODO: Fix to handle multiple hunk
docs/research/diff-review/neovim-charmatch.md,58,TODO,TODO(lewis6991): handle whitespace ignoring higher up in the stack`
docs/research/diff-review/neovim-linematch.md,158,TODO,"TODO(lewis6991)` in `count_n_matched_chars` proposes to ""handle"
docs/research/diff-review/vscode.md,30,TODO,"TODO: Maybe a neural net can be used to derive the result from these numbers""."
docs/research/iroh/docs-sync.md,321,TODO,"TODO: optimize` ([`store/fs.rs`][docs-store-fs], lines 747–748) — there is no cached fingerprint tree, so even reconciling two _equal_ sets costs a full scan for the initial fingerprint, and blake3 over the whole range runs on the serialising actor thread."
docs/research/iroh/net-report.md,82,TODO,"TODO: is this good?`), else falls back to the initial plan."
docs/research/iroh/net-report.md,84,TODO,"TODO: randomize choice?`), one task per address family the interface state supports and that ""needs probing"" (v4 whenever there is no cached v4 report; v6 when cached-v6-presence disagrees with `if_state.have_v6`), each wrapped in `PROBES_TIMEOUT` = 3 s and a per-family child `CancellationToken` ([`net_report.rs:493`][nr-fanout]). The join loop early-cancels once `reports.len() >= enough_relays` (`min(3, num_relays)`, `ENOUGH_ENDPOINTS` = 3) _and_ at least one result per started family has landed."
docs/research/iroh/net-report.md,404,TODO,"TODO: is this good?`), leaning entirely on cached QAD watchers — a stale cached conn can report UDP works for up to ~35 s after the network actually broke (an open question the recon could not fully resolve from `net_report` alone)."
docs/research/iroh/socket.md,344,TODO,TODO: use this` for remote-state pruning). `EndpointIdMappedAddr` is a 16-byte value that can be a `@safe pure nothrow @nogc` struct.
docs/research/manim/grounding/manim-community.md,44,TODO,"TODO: _""Change cubic curve groups to have 4 points instead of 3""_                                                                                                                                                                | quote      | `manim/mobject/types/vectorized_mobject.py:73`                                                                                 | ✓      |"
docs/research/manim/grounding/mathanimation.md,37,TODO,TODO: Add a hardware accelerated version …`)                                                                            | fact     | https://github.com/ambrosiogabe/MathAnimation/blob/4b2bace5e5d43ecccfd9cd5374d3eb9760ace4ef/Animations/src/video/NvidiaEncoder.cpp       | ✓      |
docs/research/manim/mathanimation.md,366,TODO,TODO:
docs/research/manim/mathanimation.md,368,TODO,"TODO: Add a hardware accelerated version that usee CUDA and NVENC""_"
docs/research/property-tree/godot-inspector.md,27,TODO,"TODO: Can be useful to store more context for the focusable, such as the caret position in LineEdit."
docs/research/sanitizers/d-toolchain.md,570,TODO,"TODO: remaining sanitizers"" — **no TSan or MSan link path on Windows at all**"
docs/research/sanitizers/grounding/d-toolchain.md,34,TODO,"TODO: remaining sanitizers"" — no TSan/MSan link path                                                   | fact     | `driver/linker-msvc.cpp:76-98`                                                                                                                   | ✓ (src)           |"
docs/research/sanitizers/grounding/macos-windows.md,41,TODO,"TODO: remaining sanitizers`; artifact: lib32/lib64 asan libs, **libarm64/ = `ldc_rt.dso.obj` only** | quote      | `driver/linker-msvc.cpp:76-98`; `CMakeLists.txt:903-918`; `7z l ldc2-1.41.0-windows-multilib.7z`                                                                                               | ✓      |"
docs/research/sanitizers/grounding/runner-integrations.md,26,TODO,TODO(golang.org/issue/29062): tests that exit with status 0 without printing a final result should fail.`                                                                                         | quote            | `test.go:1772-1773` (verbatim)                                                                                           | ✓                     |
