sha	date	author	files	insertions	deletions	subject
52ae3ee10	2026-08-22	Petar Kirov	1	9	9	docs(specs/hue/dsv-preview): DSB3 to full — the columns palette shipped
f8cfd2841	2026-08-22	Petar Kirov	7	555	12	feat(hue/dsv): the columns palette — hide and reorder columns (DSB3)
4b2faa8b9	2026-08-22	Petar Kirov	1	4	4	docs(specs/hue/dsv-preview): finalize the GUI-wiring evidence SHA against main
6d72d9c6c	2026-08-19	Petar Kirov	1	23	22	docs(specs/hue/dsv-preview): record the GUI browser wiring
95058b9d7	2026-08-19	Petar Kirov	3	89	5	feat(hue/dsv): the GUI browser wiring — header-click sort, filter bar, reset
f20acad17	2026-08-19	Petar Kirov	1	39	39	docs(specs/hue): finalize DSV evidence SHAs against main's rebase-merged commits
93524afe8	2026-08-22	Petar Kirov	4	177	81	fix(docs.page_shell): the docs/ node IS the docs nav — inlined groups, real file subtrees, relative hrefs
8198b16fd	2026-08-21	Petar Kirov	3	26	22	docs(specs/hue): spec font bundling, symbol fallback, and the ligature non-goal
81c788d2c	2026-08-22	Petar Kirov	5	12	12	docs(source-view): retarget references left behind by the split
47a66b6fb	2026-08-22	Petar Kirov	1	1	1	fix(hue.cli): import OverflowPolicy from its post-split module
d9f947268	2026-08-21	Petar Kirov	9	138	25	feat(hue/settings): tier-2 consumption — lantern, picker, scroll, timing, diff engine
122740f9f	2026-08-21	Petar Kirov	1	19	0	docs(specs/hue/config): the settings pane requirements (SET1–SET8)
3a2080e54	2026-08-21	Petar Kirov	2	156	2	feat(hue/gui): mount the settings pane in the window host
2c2bf1831	2026-08-21	Petar Kirov	2	174	3	feat(hue/workspace): mount the settings pane in the terminal host
f183013d3	2026-08-21	Petar Kirov	2	269	1	feat(hue/settings-store): ConfigStore — the shared runtime config + adapters
2410b77e9	2026-08-21	Petar Kirov	1	1015	0	feat(hue/settings-pane): the pane component — edit engine, editor, view
9b3a66347	2026-08-21	Petar Kirov	4	185	6	feat(hue/keymap): the settings pane's modality — scope, commands, rows
acd8b6b5b	2026-08-21	Petar Kirov	1	83	30	docs(specs/hue/config): record the shipped core; fix the CFG6 example
74ac0c975	2026-08-21	Petar Kirov	6	812	52	feat(hue/keymap-config): user-rebindable keys as a config overlay (CFG6)
5e49e7042	2026-08-21	Petar Kirov	1	4	1	test(hue/settings_io): pid-unique fixture dir for the JSONC round-trip
613ed9094	2026-08-21	Petar Kirov	1	194	2	feat(hue/settings): `config save` machinery — sparse rewrite, honest refusal
532e43aaf	2026-08-21	Petar Kirov	3	308	9	feat(hue/config-cmd): `config show` with origins and `config write` starter
34ec39947	2026-08-21	Petar Kirov	3	1152	687	feat(hue/cli): the CLI as CFG2's top layer; sinks read the config
193880ca0	2026-08-21	Petar Kirov	3	493	0	feat(hue/settings): layer sources — user/project/env with located warnings
4c612c093	2026-08-21	Petar Kirov	1	242	0	feat(hue/settings): derive the sparse overlay and the origin mirror (CFG2)
f98f28515	2026-08-21	Petar Kirov	2	652	0	feat(hue/settings): the configuration schema — HueConfig as one aggregate
3c4558a90	2026-08-21	Petar Kirov	1	110	3	feat(wired.json): decode/encode AA keys through a type-level `@WireConvert`
34faec28a	2026-08-21	Petar Kirov	1	92	0	feat(core_cli.args): expose explicitly-passed options on CommandNode
919f5d7ea	2026-08-22	Petar Kirov	1	270	0	fix(wsi.wayland): transcribe protocol request wrappers for dmd ImportC
7cb84debf	2026-08-21	Petar Kirov	1	9	2	docs(specs/wsi): let seam-free Graphite work proceed in parallel
848edc5a8	2026-08-21	Petar Kirov	13	168	48	feat(wsi): preserve drag releases outside the window
a8c8ebecd	2026-08-21	Petar Kirov	19	1035	29	feat(wsi): apply standard cursor shapes on all four backends
